x,y,Class,Filename,type,className,color,Year,Link,Song Name
19.228588,59.42709,0,5xiIPU8qUlFtV6FnhVF8Eg.csv,train,Chinese,#F24443,,,
-51.830605,-26.630127,0,6567lVKyNVsuzgbVnrc7ka.csv,train,Chinese,#F24443,,,
-34.49426,-32.03555,0,7vDtZpewUjyE4gE0XnqzkP.csv,train,Chinese,#F24443,,,
-39.71164,55.87038,0,4zXZTMRrVXSjEdLOFdCj8u.csv,train,Chinese,#F24443,,,
-25.86383,-72.495636,0,6PAJ9CrEEhLRSd0eyYFi49.csv,train,Chinese,#F24443,,,
-10.426807,-63.374798,0,156wXxBaPzeHwzQvHw5B1g.csv,train,Chinese,#F24443,,,
19.805876,60.7209,0,1nPw9SAcbFURpvSt1k4UPu.csv,train,Chinese,#F24443,,,
-50.458553,68.32088,0,66irmVPIPr4nEnRTzA6geS.csv,train,Chinese,#F24443,,,
-17.757658,-63.83336,0,1i9hHW8m6Hxi4nIby2E4Q1.csv,train,Chinese,#F24443,,,
-17.621956,-39.41173,0,1bOLtsnYdVTJGfIOythyH1.csv,train,Chinese,#F24443,,,
-18.625345,50.771282,0,5pl5qF4oGJL9vpxdKIBOIp.csv,train,Chinese,#F24443,,,
-47.87392,-0.79173356,0,6POJsqkPdOlNXn8UMCHgKe.csv,train,Chinese,#F24443,,,
-10.517613,-9.016345,0,0mbZWFurSHNOzJSQSASmgi.csv,train,Chinese,#F24443,,,
-31.580233,-4.51083,0,0GC5oEfnljG0wy2BJBiLGn.csv,train,Chinese,#F24443,,,
-32.35346,-42.73489,0,03JywLaE6YJpRUd0oORjdi.csv,train,Chinese,#F24443,,,
-24.635298,-67.35405,0,35qLKH91AwBSi7urd3MANJ.csv,train,Chinese,#F24443,,,
-16.889881,-0.1473119,0,70yqRX8ZiDYAlb0BULjCg1.csv,train,Chinese,#F24443,,,
-25.759483,-13.616438,0,5wzSZ2q4gb1m9LGPQ5swH0.csv,train,Chinese,#F24443,,,
-31.196049,-44.371384,0,5Ju1la93EVJBjDjBGEXQaf.csv,train,Chinese,#F24443,,,
-2.8723416,82.81944,0,3zq2ao7RcZ2kBdbC1VPkeH.csv,train,Chinese,#F24443,,,
-53.156643,-20.209097,0,3d0mubW3OiVHDiENV3BHIS.csv,train,Chinese,#F24443,,,
-26.796543,-75.70801,0,3PChqskvz1EAhM8GQfvqV6.csv,train,Chinese,#F24443,,,
-60.88552,8.480358,0,04dbwqiyzeC6pdTHvm2q4f.csv,train,Chinese,#F24443,,,
-18.989445,17.118032,0,4n2uD5mCZw4Di5GvaTnksr.csv,train,Chinese,#F24443,,,
-39.62567,-43.473316,0,0y1c9KQ6OJMvHk6g43ffUw.csv,train,Chinese,#F24443,,,
15.557394,-54.366924,0,4hnPLzxP56F3EviAQLHzAN.csv,train,Chinese,#F24443,,,
23.364038,41.520863,0,1yy3eHsbAHCxpXbcXyiGmn.csv,train,Chinese,#F24443,,,
-29.875364,-60.02089,0,0HmeBCKNtw0WVxOsKBmoBo.csv,train,Chinese,#F24443,,,
-23.93911,-64.76705,0,6QbVPZm4KjwyrJ4ptGZAxP.csv,train,Chinese,#F24443,,,
-13.658671,-5.726572,0,5IjS11CPTCHT9ZBng4TLw5.csv,train,Chinese,#F24443,,,
-44.365875,-45.273655,0,7po2RFxHXpgXksMKRDuY3Y.csv,train,Chinese,#F24443,,,
-16.262035,-3.4852254,0,4DHQWkeE1vlgbCPyLrEAYM.csv,train,Chinese,#F24443,,,
-16.230782,-10.376385,0,0qhp8ERxJJQn2tITldygyY.csv,train,Chinese,#F24443,,,
2.3298614,9.636111,0,0jsNx017riEEVn34psFg8l.csv,train,Chinese,#F24443,,,
-62.381386,32.884098,0,65nyUIKetKJbJvS2U6GxzS.csv,train,Chinese,#F24443,,,
10.056284,34.728497,0,1g6ebtjHwe7tIkGHPvztDE.csv,train,Chinese,#F24443,,,
13.672744,-52.98627,0,19cVdawHBdrVaiv7sPnSOh.csv,train,Chinese,#F24443,,,
-61.00452,-31.486078,0,1nTvXlvoORpASEH7H27nki.csv,train,Chinese,#F24443,,,
-4.1723866,-71.257744,0,6xdx1RzOnvp3NnLSxJQGAj.csv,train,Chinese,#F24443,,,
-59.61152,-18.931286,0,0QwW5s2NRckOv8qeQf5mMI.csv,train,Chinese,#F24443,,,
-25.62735,-14.094115,0,4L7xChRHoQiZDOmEVyOKh2.csv,train,Chinese,#F24443,,,
-68.99665,-31.532684,0,1meIhct5ClM72NO1jdd5wQ.csv,train,Chinese,#F24443,,,
-62.235733,10.3493185,0,5dp8RAvEx77ZA7ukYVRucN.csv,train,Chinese,#F24443,,,
-26.11687,-9.202,0,6hKBgkuooIGVzCSXyja6sO.csv,train,Chinese,#F24443,,,
-13.160982,-60.411232,0,2icdocQh6jVwPeGYASDRdb.csv,train,Chinese,#F24443,,,
-51.18078,-47.408504,0,2oiftYYFGRTkE81PZA1Jlm.csv,train,Chinese,#F24443,,,
-29.663616,-6.5133443,0,2IsorCkuHE4yYImlz8DPeN.csv,train,Chinese,#F24443,,,
14.355703,-21.156683,0,1jRKjDxmfvC2aPu8kWAShP.csv,train,Chinese,#F24443,,,
-12.054854,-4.9674206,0,73S1p2T3U4oRdep7j2SqT4.csv,train,Chinese,#F24443,,,
-9.001376,-60.37353,0,6NWkPebyBoNysBkpRzgcJw.csv,train,Chinese,#F24443,,,
-62.698795,9.320737,0,6AKiAQQjd1ugZb485YDWOs.csv,train,Chinese,#F24443,,,
-32.638504,-25.804394,0,5G1vnHe65YBEuMyplJCWbR.csv,train,Chinese,#F24443,,,
-31.911129,-42.706036,0,5o54utT7jxOHNeraDit05K.csv,train,Chinese,#F24443,,,
-72.48102,8.639537,0,0VWs0krI0C9IxfCAdSSYE1.csv,train,Chinese,#F24443,,,
-63.12796,-3.7837987,0,6Wl7lZabJhPmxZVXdwvWDR.csv,train,Chinese,#F24443,,,
-31.333967,-65.5003,0,6dvaUYzf2Utprm1SCikqXz.csv,train,Chinese,#F24443,,,
-0.22597428,11.637171,0,6c8IXCNMkyLPeUJZISNdJg.csv,train,Chinese,#F24443,,,
